Date,Technology,Consumer Discretionary,Energy,Health Care,Financials
2020-01-02,44.29418182373047,60.155189514160156,23.35608673095703,92.30609893798828,27.64297103881836
2020-01-03,43.79617691040039,59.643272399902344,23.286693572998047,91.5016860961914,27.349462509155273
2020-01-06,43.90052795410156,59.809165954589844,23.467893600463867,92.07111358642578,27.331676483154297
2020-01-07,43.881553649902344,59.71436309814453,23.406206130981445,91.89031982421875,27.153797149658203
2020-01-08,44.351104736328125,59.89448165893555,23.020662307739258,92.48685455322266,27.331676483154297
2020-01-09,44.853843688964844,60.212066650390625,23.19029998779297,92.88453674316406,27.500667572021484
2020-01-10,44.74951171875,59.885005950927734,23.059221267700195,92.91165161132812,27.296098709106445
2020-01-13,45.309165954589844,60.07461166381836,23.06693458557129,92.5862808227539,27.482879638671875
2020-01-14,45.09572982788086,60.05564880371094,23.070783615112305,93.1466293334961,27.429508209228516
2020-01-15,45.147911071777344,59.91818618774414,22.901145935058594,93.9510269165039,27.278305053710938
2020-01-16,45.7549934387207,60.453800201416016,22.939701080322266,94.43907928466797,27.518451690673828
2020-01-17,46.06329345703125,60.667110443115234,22.793195724487305,94.43907928466797,27.59850311279297
2020-01-21,46.04432678222656,60.482242584228516,22.3845272064209,94.53850555419922,27.367252349853516
2020-01-22,46.21031951904297,60.453800201416016,22.16861915588379,94.65599822998047,27.447303771972656
2020-01-23,46.428504943847656,60.54386901855469,22.083797454833984,94.1769790649414,27.376142501831055
2020-01-24,46.21031951904297,59.70014572143555,21.82933807373047,92.6043472290039,27.029277801513672
2020-01-27,45.10996627807617,58.809024810791016,21.224042892456055,91.89939880371094,26.611249923706055
2020-01-28,45.97317886352539,59.3825798034668,21.320425033569336,92.35127258300781,26.922548294067383
2020-01-29,46.091739654541016,59.34938430786133,21.09680938720703,92.09821319580078,26.878070831298828
2020-01-30,46.49015426635742,59.24984359741211,21.26645278930664,91.42939758300781,27.21605682373047
2020-01-31,45.21431350708008,59.401519775390625,20.603322982788086,89.60369873046875,26.646831512451172
2020-02-03,45.811920166015625,59.823387145996094,20.333444595336914,90.41712188720703,26.83360481262207
2020-02-04,47.011878967285156,60.9135856628418,20.40669822692871,92.0078353881836,27.091535568237305
2020-02-05,47.286956787109375,61.2216796875,21.173919677734375,93.77928924560547,27.634078979492188
2020-02-06,47.71858596801758,61.08423614501953,20.958017349243164,93.86066436767578,27.59850311279297
2020-02-07,47.2822265625,60.818782806396484,20.8115177154541,93.12857055664062,27.500667572021484
2020-02-10,47.922523498535156,61.50608444213867,20.70741844177246,93.62565612792969,27.580713272094727
2020-02-11,47.76125717163086,61.989559173583984,20.938745498657227,94.1860122680664,27.67854881286621
2020-02-12,48.27824020385742,62.624732971191406,21.220190048217773,94.30351257324219,27.696340560913086
2020-02-13,48.150177001953125,62.51569747924805,21.154644012451172,93.86066436767578,27.68744659423828
2020-02-14,48.35886001586914,62.420894622802734,21.04283905029297,93.93294525146484,27.7230224609375
2020-02-18,48.17863464355469,62.41617202758789,20.869348526000977,93.59855651855469,27.482879638671875
2020-02-19,48.752540588378906,62.69581604003906,21.146934509277344,94.0323715209961,27.68744659423828
2020-02-20,48.24504089355469,62.71952438354492,21.123802185058594,93.42681884765625,27.634078979492188
2020-02-21,47.16365051269531,61.76205062866211,20.873201370239258,93.4810562133789,27.367252349853516
2020-02-24,45.21431350708008,59.638526916503906,19.909347534179688,90.53462982177734,26.477834701538086
2020-02-25,43.7677116394043,58.0458869934082,19.030315399169922,87.78704071044922,25.57953453063965
2020-02-26,43.96693801879883,57.58612060546875,18.455856323242188,87.77804565429688,25.392751693725586
2020-02-27,41.59545135498047,55.2587776184082,17.4688720703125,84.79544830322266,24.30767059326172
2020-02-28,41.913238525390625,54.90328598022461,17.453447341918945,83.70181274414062,23.64950180053711
2020-03-02,44.336883544921875,56.789794921875,18.15899085998535,87.62435913085938,24.859102249145508
2020-03-03,42.65312194824219,55.41520309448242,17.603805541992188,85.44618225097656,23.925216674804688
2020-03-04,44.48390197753906,57.33015823364258,18.020193099975586,90.37194061279297,24.71680450439453
2020-03-05,43.07999038696289,55.192420959472656,17.360919952392578,88.27510070800781,23.524986267089844
2020-03-06,42.16936111450195,54.34395980834961,16.3855037689209,87.80513763427734,22.72451400756836
2020-03-09,38.96788024902344,50.92168045043945,13.0852689743042,83.24088287353516,20.287519454956055
2020-03-10,41.5670051574707,53.737247467041016,13.705986976623535,86.09691619873047,21.47933578491211
2020-03-11,39.60343551635742,50.798458099365234,12.981170654296875,82.80706787109375,20.3142032623291
2020-03-12,35.737937927246094,45.6650505065918,11.361899375915527,76.62500762939453,18.117353439331055
2020-03-13,39.93069839477539,48.490074157714844,12.41057014465332,81.93939208984375,20.500978469848633
2020-03-16,34.414669036865234,42.34705352783203,10.721900939941406,73.8593521118164,17.6904354095459
2020-03-17,36.7576789855957,43.97761154174805,10.795153617858887,78.49588775634766,18.651002883911133
2020-03-18,35.372737884521484,41.45119857788086,9.245275497436523,75.89289093017578,17.067840576171875
2020-03-19,35.50080108642578,42.89688491821289,9.873709678649902,74.33834075927734,17.44139862060547
2020-03-20,33.87397003173828,41.621829986572266,9.97009563446045,71.4823226928711,16.818805694580078
2020-03-23,33.56455612182617,41.6904182434082,9.290549278259277,67.76961517333984,15.840234756469727
2020-03-24,37.002052307128906,45.600833892822266,10.78050422668457,72.9917221069336,17.804563522338867
2020-03-25,36.954376220703125,46.4010124206543,11.288980484008789,73.9635009765625,18.288917541503906
2020-03-26,39.24286651611328,48.320499420166016,11.978777885437012,78.8768539428711,19.43702507019043
2020-03-27,37.46929168701172,46.70108413696289,11.166788101196289,77.18759155273438,18.845033645629883
2020-03-30,39.047401428222656,47.6775016784668,11.281098365783691,80.80223083496094,19.203815460205078
2020-03-31,38.317935943603516,46.71537780761719,11.4545316696167,80.44805145263672,18.67460823059082
2020-04-01,36.491912841796875,44.629188537597656,10.886930465698242,77.38742065429688,17.53547477722168
2020-04-02,37.34532928466797,44.795894622802734,11.884176254272461,79.53076171875,17.974987030029297
2020-04-03,36.76844024658203,44.0147590637207,11.75804328918457,78.81327819824219,17.61620330810547
2020-04-06,39.90557861328125,47.6775016784668,12.380826950073242,82.94556427001953,18.88090705871582
2020-04-07,39.54800796508789,48.387176513671875,12.644922256469727,82.26441955566406,19.069271087646484
2020-04-08,40.61119842529297,49.91133499145508,13.488439559936523,85.65199279785156,19.9034423828125
2020-04-09,40.62073516845703,50.811546325683594,13.366250991821289,86.12427520751953,20.970813751220703
2020-04-13,40.71133041381836,50.7972526550293,13.322890281677246,85.37045288085938,20.208402633666992
2020-04-14,42.41815948486328,52.783424377441406,13.259824752807617,88.20406341552734,20.298097610473633
2020-04-15,41.49321365356445,51.625999450683594,12.637041091918945,87.74993133544922,19.419082641601562
2020-04-16,41.998592376708984,52.24518585205078,12.097027778625488,89.6662368774414,19.078245162963867
2020-04-17,42.556419372558594,53.78839874267578,13.382018089294434,91.52803039550781,20.08283042907715
2020-04-20,41.87464904785156,52.85009765625,12.96419906616211,90.80147552490234,19.73301887512207
2020-04-21,40.120121002197266,51.47835922241211,12.73558235168457,88.0405502319336,19.09617805480957
2020-04-22,41.66485595703125,52.5881462097168,13.188872337341309,89.38467407226562,19.30248260498047
2020-04-23,41.37879943847656,52.57384490966797,13.614575386047363,89.87510681152344,19.221750259399414
2020-04-24,42.25605010986328,53.46452331542969,13.64610767364502,91.08301544189453,19.499813079833984
2020-04-27,42.61840057373047,54.46475601196289,13.941734313964844,92.25458526611328,20.163558959960938
2020-04-28,42.05105209350586,54.67908477783203,14.261012077331543,90.39277648925781,20.37882423400879
2020-04-29,43.77695846557617,55.88411331176758,15.31738567352295,90.99220275878906,20.970813751220703
2020-04-30,43.581459045410156,55.53642654418945,14.978397369384766,90.57443237304688,20.441612243652344
2020-05-01,42.38478469848633,53.45976257324219,14.130932807922363,88.84883880615234,19.786840438842773
2020-05-04,42.94736862182617,53.750301361083984,14.619704246520996,88.8034439086914,19.607444763183594
2020-05-05,43.53856658935547,53.945579528808594,14.631528854370117,90.72882843017578,19.54465675354004
2020-05-06,43.87705993652344,53.93606185913086,14.249189376831055,89.82970428466797,19.12308692932129
2020-05-07,44.53500747680664,54.78386688232422,14.619704246520996,89.82060241699219,19.571569442749023
2020-05-08,45.18817901611328,55.85077667236328,15.285846710205078,90.2838134765625,19.993131637573242
2020-05-11,45.48855209350586,55.72694778442383,15.017817497253418,91.83682250976562,19.607444763183594
2020-05-12,44.54931640625,54.50762176513672,14.7537202835083,90.4382095336914,19.09617805480957
2020-05-13,43.78171157836914,53.569313049316406,14.083637237548828,89.45735168457031,18.531097412109375
2020-05-14,44.33952713012695,54.36948776245117,14.241308212280273,90.4382095336914,19.00648307800293
2020-05-15,44.56362533569336,55.002960205078125,14.186120986938477,91.2010726928711,18.88090705871582
2020-05-18,45.65542221069336,57.08439254760742,15.344977378845215,91.95486450195312,19.849624633789062
2020-05-19,45.48855209350586,56.879581451416016,14.915327072143555,90.84687042236328,19.365266799926758
2020-05-20,46.48499298095703,57.62260818481445,15.510526657104492,90.95587158203125,19.795801162719727
2020-05-21,45.83659362792969,57.827415466308594,15.262200355529785,90.2838134765625,19.73301887512207
2020-05-22,46.003448486328125,57.74168395996094,15.167601585388184,90.47452545166016,19.661264419555664
2020-05-26,45.95578384399414,58.656185150146484,15.58935832977295,90.31105041503906,20.683794021606445
2020-05-27,46.21800231933594,59.661170959472656,15.790384292602539,91.24649047851562,21.580745697021484
2020-05-28,46.127418518066406,58.937198638916016,15.34891128540039,92.43622589111328,21.23990249633789
2020-05-29,46.70907974243164,59.151527404785156,15.27796745300293,93.55329132080078,20.997724533081055
2020-06-01,46.69477081298828,59.713558197021484,15.545995712280273,92.62694549560547,21.23990249633789
2020-06-02,47.13339614868164,60.223201751708984,15.979581832885742,93.16278076171875,21.410322189331055
2020-06-03,47.50050354003906,61.361572265625,16.448652267456055,92.98115539550781,22.2086124420166
2020-06-04,47.10955810546875,61.05195236206055,16.45258903503418,92.24549102783203,22.692970275878906
2020-06-05,48.34916305541992,62.514198303222656,17.674503326416016,93.73493957519531,23.536108016967773
2020-06-08,48.59231185913086,63.466793060302734,18.470735549926758,94.3797607421875,23.98458480834961
2020-06-09,48.8211669921875,62.97144317626953,17.776992797851562,93.3989028930664,23.473323822021484
2020-06-10,49.636444091796875,62.38083267211914,16.901941299438477,93.25360870361328,22.59430503845215
2020-06-11,46.79011917114258,59.11342239379883,15.309502601623535,88.06781005859375,20.7465763092041
2020-06-12,47.3956413269043,59.69926834106445,15.695784568786621,88.63995361328125,21.374452590942383
2020-06-15,47.85332489013672,60.26606750488281,15.743084907531738,88.83976745605469,21.67044448852539
2020-06-16,48.87360763549805,61.53302764892578,16.19637680053711,91.02852630615234,22.011287689208984
2020-06-17,48.864078521728516,61.37107467651367,15.644543647766113,90.93769073486328,21.679410934448242
2020-06-18,49.08338165283203,61.1472282409668,15.837692260742188,90.62891387939453,21.65250015258789
2020-06-19,48.7448844909668,60.67091751098633,15.597241401672363,91.50079345703125,21.508989334106445
2020-06-22,49.66328048706055,61.29441452026367,15.669500350952148,91.14964294433594,21.40247344970703
2020-06-23,50.0218391418457,61.7765998840332,15.685474395751953,91.54183959960938,21.501766204833984
2020-06-24,48.8935546875,60.41599655151367,14.815164566040039,89.15228271484375,20.743518829345703
2020-06-25,49.51985549926758,60.49714660644531,15.098611831665039,90.02783966064453,21.294151306152344
