Date,Technology,Consumer Discretionary,Energy,Health Care,Financials
2020-02-29,-0.07300951237869702,-0.07572590418855885,-0.1528819231490246,-0.06586654423810356,-0.11248353150405555
2020-03-31,-0.08577964166641794,-0.14913329915365336,-0.3437095007525709,-0.038873247601578176,-0.21035933914824811
2020-04-30,0.13736447363849447,0.1888253750809641,0.30763943925487314,0.125874781769848,0.09462067376422922
2020-05-31,0.0717649377861036,0.06509422887911631,0.02000014262076344,0.03288851908544066,0.027204913330718172
2020-06-30,0.06949027339202352,0.03073908802262415,-0.010955355487571539,-0.024425436281220625,-0.005228336643547382
2020-07-31,0.05684761013789674,0.07274284053578639,-0.04808469810921123,0.054561898072066795,0.03846183698606653
2020-08-31,0.11880826484737517,0.09554738081773517,-0.010546439200194713,0.025869462082698025,0.042862943816067256
2020-09-30,-0.05335090403998166,-0.018634123010403902,-0.14606659281521706,-0.021804592556087243,-0.034222282143713256
2020-10-31,-0.0500430003682627,-0.027282323336820014,-0.041068346541711875,-0.03621558031274186,-0.008724483346033263
2020-11-30,0.11383761968038608,0.09995081084035395,0.27994422131187124,0.07948050606891743,0.16848287371752924
2020-12-31,0.05541614739194323,0.02427838476302968,0.04480126208013968,0.03797840003553299,0.06306039780395745
2021-01-31,-0.00838335849456806,0.007650202570877562,0.03746665771644353,0.014016027868498648,-0.01797824397152281
2021-02-28,0.013651109040561549,-0.005308216604083427,0.22456800030859014,-0.021037927955762092,0.11606208368856263
2021-03-31,0.01836648129319496,0.04459838870503274,0.02970989747119379,0.04027342056077532,0.05852406685292988
2021-04-30,0.05187870140226791,0.06455625153418088,0.006726287707554901,0.039317979765238986,0.0649048403165342
2021-05-31,-0.009305809552210942,-0.033981732043322,0.057096896165826694,0.018709147665229464,0.04771086229178123
2021-06-30,0.06886350008504727,0.03456869742811164,0.04233904783337161,0.02298976227949434,-0.030393854751051497
2021-07-31,0.03887295864162987,0.010529440439894566,-0.08316307365759956,0.04922578644802722,-0.004633348858051889
2021-08-31,0.03559301176152885,0.017846293752297626,-0.02004427812653553,0.023155595200526236,0.051478449995714826
2021-09-30,-0.05839898098064278,-0.021408209690390145,0.0893148884743098,-0.05518407973777162,-0.01842470529442808
2021-10-31,0.08177020556719539,0.1209251827924025,0.10328284307980784,0.0512176707969787,0.07274150667004098
2021-11-30,0.04451186854406286,0.016355881522596816,-0.050113231066746367,-0.030563617558975964,-0.0571288257008562
2021-12-31,0.03247356556774661,0.0014974523314366106,0.029833967584844467,0.09019849659681789,0.03364308158644369
2022-01-31,-0.06844193451421565,-0.09533364360757413,0.18774734168814566,-0.06856425935536181,0.00025594932266526094
