,Technology,Consumer Discretionary,Energy,Health Care,Financials
Technology,1.0,0.8446733554764254,0.419738394922004,0.7017751337445408,0.6647275607496125
Consumer Discretionary,0.8446733554764254,1.0,0.46191998470566564,0.6463261052600415,0.7218182906491989
Energy,0.419738394922004,0.46191998470566564,1.0,0.47282443697384197,0.7175278121727857
Health Care,0.7017751337445408,0.6463261052600415,0.47282443697384197,1.0,0.7078986191324488
Financials,0.6647275607496125,0.7218182906491989,0.7175278121727857,0.7078986191324488,1.0
